"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","total_alt"
"K1","page1_clean.png",35662,52.8,"Trial001",20,4300,12.1,7,1678,4.7,20,4651.9,13,61,12750.8,48,2642.6,344,5049.9,28,"clean",13,2,16,0,13,17,1,1,2,2,16,17,100
"K1","page2_clean.png",52275.6,67.6,"Trial002",39,10678.4,20.4,2,217.1,0.4,71,18153.4,34.7,122,30141.7,80,3381.7,406.7,7779.5,31,"clean",54,1,34,0,53,39,2,0,0,0,37,36,256
"K1","page3_clean.jpg",26224.2,86.7,"Trial003",21,5078.6,19.4,3,403.2,1.5,57,14724.8,56.1,81,20206.7,71,2323.3,204.7,3384.1,5,"clean",32,5,11,0,33,19,1,5,4,4,19,11,144
"K1","page4_standard.jpg",34088.8,73,"Trial004",3,684.5,2,38,13290.8,39,27,6994.4,20.5,71,21791.3,57,2004.2,215.1,3670.4,16,"standard",21,22,3,23,19,26,22,25,25,28,24,2,240
"K1","page5_standard.jpg",43796.8,87,"Trial005",6,1402.9,3.2,14,2740.1,6.3,88,30534.7,69.7,108,34677.8,96,3188.8,205.9,4438.7,13,"standard",13,4,9,3,15,22,5,2,2,2,23,8,108
"K1","page6_standard.jpg",24999.2,66.9,"Trial006",9,3221.7,12.9,20,4640.8,18.6,21,6143.2,24.6,53,14473.1,45,1702.8,113.1,1956.5,17,"standard",6,5,7,1,8,16,2,4,4,4,17,6,80
"K10","page1_clean.png",41971.7,9.8,"Trial001",1,150.3,0.4,3,250.4,0.6,0,0,0,14,2228.8,9,597.6,186.8,1729.5,18,"clean",0,0,5,0,0,0,0,0,1,1,0,5,12
"K10","page2_clean.png",24563.3,63.5,"Trial002",5,901.3,3.7,5,467.4,1.9,25,5991.5,24.4,45,8996,42,3089.7,428,4425,18,"clean",8,0,4,2,6,11,2,1,1,2,10,5,52
"K10","page3_clean.jpg",20678.5,47.6,"Trial003",11,2131.6,10.3,6,717.6,3.5,10,2103.4,10.2,27,4952.6,12,1035,297.1,2405.8,16,"clean",8,7,21,2,7,13,2,9,7,10,12,19,117
"K10","page4_standard.jpg",27677.2,60.9,"Trial004",5,751.2,2.7,33,6375.6,23,16,3343.2,12.1,55,10586.9,47,4185.3,568.4,4784.4,14,"standard",11,7,3,10,8,11,11,11,17,21,8,2,120
