"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","max_text_time","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","weighted_text_image","weighted_alt","total_alt","Version"
"E27","2-3 image only.jpg",2635,82.9,"Trial001",1,317.2,12,7,1519.2,57.7,NA,NA,NA,8,1836.4,8,217,20.8,643.8,1,"image",0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.07207207207207,5,2
"E27","2-3 textonly.jpg",28061.4,96.2,"Trial002",22,6593.8,23.5,NA,NA,NA,35,19013.3,67.8,57,25607,55,1251.9,45.3,1422.8,2,"text",10654.6,28,0,0,0,29,3,0,0,0,0,3,0,0,19.3855656697009,65,2
"E27","4 image only.jpg",1665,52.1,"Trial003",0,0,0,2,817.6,49.1,NA,NA,NA,2,817.6,0,0,0,0,1,"image",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"E27","4 text only.jpg",14239.7,94.1,"Trial004",3,851.4,6,NA,NA,NA,21,11936.4,83.8,24,12787.8,24,567.6,22.5,621.7,1,"text",7080.8,8,0,0,0,7,0,0,0,0,0,0,0,0,11.5084745762712,17,2
"E27","5 image only.jpg",1246,61.5,"Trial005",0,0,0,3,617.6,49.6,NA,NA,NA,3,617.6,3,67.4,15.5,480.4,1,"image",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"E27","5 text only.jpg",8413.8,90.3,"Trial006",3,1403.6,16.7,NA,NA,NA,14,5715,67.9,17,7118.6,17,451.1,23.9,730.3,1,"text",3323.3,9,0,0,0,8,1,0,0,0,0,1,0,0,14.9156908665105,21,2
"E27","6-7 image only.jpg",1345.1,73.1,"Trial007",0,0,0,3,851.5,63.3,NA,NA,NA,3,851.5,2,66.8,11.2,335.4,1,"image",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"E27","6-7 text only.jpg",24101.8,95.8,"Trial008",16,6660.7,27.6,NA,NA,NA,30,15357.8,63.7,46,22018.5,45,1051.7,33.2,707.7,2,"text",7849,17,0,1,0,16,1,0,0,0,0,1,1,0,11.9674489023467,39,2
"E27","8-9 standard.jpg",20513.1,95.5,"Trial009",9,3122.8,15.2,14,6074.1,29.6,22,9448.7,46.1,45,18645.7,44,1036.1,35.8,1060.1,1,"standard",6312.6,11,5,0,2,9,0,1,7,5,5,0,0,0.668755595344673,24.496866606983,47,2
"E27","12 standard.jpg",19533.4,95,"Trial010",12,5074.5,26,4,1168.7,6,31,11385.2,58.3,47,17628.3,45,868.1,20.4,840.6,1,"standard",5544.4,7,6,0,5,7,0,5,6,0,0,0,0,2.92722117202268,18.4461247637051,38,2
"E27","13 standard.jpg",16405,93.2,"Trial011",0,0,0,7,2314.9,14.1,24,12058.5,73.5,31,14373.3,32,918.5,45.1,1725.5,1,"standard",9068.1,0,1,0,3,1,0,4,0,0,0,0,0,0.367441860465116,4.3453488372093,11,2
"E27","14-15 standard.jpg",21437.6,95.5,"Trial012",1,484.3,2.3,2,684.5,3.2,40,18429.5,86,43,19598.3,42,851.3,21.1,816.3,2,"standard",12508.3,1,0,0,1,1,2,1,0,0,0,2,0,0.0212585034013606,5.25085034013605,10,2
"E31","2-3 image only.jpg",6750.7,77.5,"Trial001",0,0,0,17,4607.3,68.2,NA,NA,NA,17,4607.3,17,484.1,81.3,2170.9,4,"image",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"E31","2-3 textonly.jpg",81633.6,60.6,"Trial002",73,14657.8,18,NA,NA,NA,63,16947.1,20.8,139,31922.1,123,12131.5,1700.6,9521.3,30,"text",4225.1,37,0,53,0,35,29,0,0,0,0,28,54,0,109.443011861784,238,2
"E31","4 image only.jpg",5594.1,48.3,"Trial003",1,83.5,1.5,8,1786.1,31.9,NA,NA,NA,9,1869.6,9,451.8,127.6,1916.2,4,"image",0,0,0,1,0,0,0,0,0,6,7,0,0,0,6.40869565217391,16,2
"E31","4 text only.jpg",98770,36.9,"Trial004",46,8357.4,8.5,NA,NA,NA,49,14028,14.2,97,22682.8,88,6469.6,896.3,9094.8,42,"text",2120.9,32,0,29,0,30,33,0,0,0,0,31,31,0,95.1667891256429,188,2
"E31","5 image only.jpg",5177.4,62.5,"Trial005",1,83.9,1.6,14,2564.6,49.5,NA,NA,NA,15,2648.5,16,894.9,123.3,1556,2,"image",0,0,1,0,0,0,0,0,0,4,3,0,1,0,5.14666666666667,11,2
"E31","5 text only.jpg",43917.7,34.4,"Trial006",39,5912.7,13.5,NA,NA,NA,6,1174.7,2.7,45,7087.4,40,4954,1392.2,7378.4,26,"text",617.9,5,0,44,0,5,6,0,0,0,0,6,44,0,48.7713625866051,112,2
