"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","max_text_time","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","weighted_text_image","weighted_alt","total_alt","Version"
"E16","2-3 standard.jpg",68816.7,73.4,"Trial001",46,10003,14.5,19,4190.1,6.1,30,9845.4,14.3,139,34688.5,124,13371.4,1082.1,9007.7,36,"standard",1553.1,27,42,49,23,31,7,27,39,3,4,6,49,7.57068062827225,117.957163255593,309,1
"E16","4 standard.jpg",67278.2,59.1,"Trial002",25,3883.1,5.8,14,2609.1,3.9,49,11040,16.4,114,22756.7,99,8917.6,1394.4,9565.5,40,"standard",3607.2,13,18,27,15,14,8,17,15,7,6,8,28,6.23232323232323,84.1464646464647,178,1
"E16","5 standard.jpg",59485.1,72.3,"Trial003",12,2494.3,4.2,64,11120,18.7,29,11063.1,18.6,105,24677.4,87,10275.6,1840.3,15210.9,14,"standard",3423.5,18,22,10,30,17,17,27,24,49,48,19,9,18.5564409030544,157.802788844622,292,1
"E16","6-7 standard.jpg",81451.3,24.6266818331936,"Trial004",4,788.4,0.994641226510309,17,2425.6,3,2,905.5,3.2,34,6109.6,36,7394.1,1450,8093.1,23,"standard",350.7,9,2,5,9,9,17,9,2,5,5,17,5,2.95710455764075,37.7077747989276,96,1
"E16","8-9 image only.jpg",7905.2,68.7299195466275,"Trial005",0,0,0,20,3667.4,46.3696910205956,NA,NA,NA,20,3667.4,17,1973.9,225.7,1792.5,3,"image",0,0,0,0,0,0,0,0,0,3,3,0,0,0,5.37209302325581,8,1
"E16","8-9 text only.jpg",74789.8,24.4,"Trial006",16,2433.7,3.3,NA,NA,NA,NA,NA,NA,45,12334.3,40,4122.6,396.7,2913.9,32,"text",1953.9,13,0,7,0,12,14,0,0,0,0,13,8,0,33.78125,69,1
"E16","12 image only.jpg",8608.8,47.8,"Trial007",0,0,0,12,2010.3,23.4,NA,NA,NA,12,2010.3,11,1259.6,181.8,927.4,7,"image",0,0,0,0,0,0,0,0,0,4,4,0,0,0,6.51724137931035,10,1
"E16","12 text only.jpg",32740.4,24.7,"Trial008",21,2988.4,9.1,NA,NA,NA,NA,NA,NA,26,4186.6,20,1142.5,197.7,2351.9,13,"text",668,5,0,14,0,5,1,0,0,0,0,1,14,0,12.6564885496183,42,1
"E16","13 image only.jpg",6227.6,25.2,"Trial009",0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,9,"image",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"E16","13 text only.jpg",65015.5,33.9,"Trial010",19,3661.4,5.6,NA,NA,NA,NA,NA,NA,36,13655.7,34,6002,696,2234.7,7,"text",4876.4,9,0,2,0,10,9,0,0,0,0,9,2,0,25.4299634591961,43,1
"E16","14-15 image only.jpg",3977.9,50.3,"Trial011",0,0,0,6,1548.7,38.9,NA,NA,NA,6,1548.7,4,128.8,18.7,319.7,5,"image",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"E16","14-15 text only.jpg",35869.6,13.3,"Trial012",8,1274.2,3.6,NA,NA,NA,NA,NA,NA,11,2401.9,8,663.3,74.1,505.9,27,"text",450.9,2,0,4,0,2,1,0,0,0,0,1,4,0,5.80434782608696,16,1
