"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","max_text_time","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","weighted_text_image","weighted_alt","total_alt","Version"
"C12","page1_standard.jpg",85201.4,94.3,"Trial001",1,1101.7,1.3,18,5558.9,6.5,70,71915.9,84.4,89,78576.5,78,1819.5,99.6,3167,12,"standard",10537.7,5,3,1,6,4,18,5,4,1,1,18,1,2.75402201524132,39.7190939881456,69,5
"C12","page2_standard.jpg",55768.9,95.9,"Trial002",1,600.9,1.1,18,4139.9,7.4,59,47509.9,85.2,78,52250.8,77,1786.2,92.7,2836.9,3,"standard",9986.6,10,1,0,6,9,31,5,2,1,0,32,0,3.09320140440472,41.7561442706671,99,5
"C12","page3_standard.jpg",40171.5,94.6,"Trial003",0,0,0,11,2510.9,6.3,53,34226.9,85.2,64,36737.9,63,1641.2,94.2,1880.5,1,"standard",7999.3,0,1,0,2,0,17,4,0,0,0,16,1,0.654388358344702,27.4879490677581,43,5
"C12","page4_clean.png",52000.7,93.5,"Trial004",15,8514.1,16.4,20,3622.7,7,62,25389.6,48.8,98,37710,95,10768.6,950.7,5749.4,3,"clean",5644.6,58,14,4,7,58,20,10,14,1,3,18,4,1.30119416187528,102.478549314463,213,5
"C12","page5_clean.jpg",58850.2,94.6,"Trial005",11,2881.9,4.9,31,9367.3,15.9,74,40094.1,68.1,116,52343.4,110,4061.6,190.5,3803.8,4,"clean",7631.9,22,5,13,21,22,33,19,9,11,12,36,9,10.4338961452692,129.823192099395,214,5
"C12","page6_clean.jpg",32291.1,95.6,"Trial006",5,1285.4,4,6,2103.4,6.5,35,26305.6,81.5,47,29912,44,1135.9,50.1,1508.7,2,"clean",11055.4,4,2,3,1,6,12,3,0,0,0,12,3,0.426978818283166,34.4180602006689,48,5
"E70","page1_standard.jpg",89214.6,95.5,"Trial001",2,851.4,1,16,3539,4,90,78458,87.9,108,82848.4,107,3989.7,232.1,3723.5,2,"standard",13760.8,6,6,0,9,8,6,11,4,0,0,6,0,2.99838872104733,31.7589123867069,58,5
"E70","page2_standard.jpg",74588.2,90.8,"Trial002",3,1018.4,1.4,26,11567.9,15.5,77,52617.6,70.5,106,65203.9,103,2354.8,118.8,3794.2,5,"standard",8316.6,12,9,0,11,12,7,11,9,0,0,7,0,4.48259979529171,41.7154554759468,80,5
"E70","page3_standard.jpg",69731.4,96.8,"Trial003",5,2804.7,4,26,7937.8,11.4,66,54528.2,78.2,97,65270.7,94,2070.6,107.7,3852.9,5,"standard",13493.6,17,11,1,11,16,4,10,13,2,2,5,0,6.77005620848237,62.826520183955,94,5
"E70","page4_clean.png",66737.4,97.5,"Trial004",22,9507.5,14.2,12,2754.3,4.1,65,50587.9,75.8,99,62849.7,97,2488.6,112,3136.9,2,"clean",11222.4,20,2,1,6,19,2,4,4,0,0,2,1,4.01991502920871,30.698088157196,63,5
"E70","page5_clean.jpg",122681.4,96.5,"Trial005",41,20933.5,17.1,53,16091.8,13.1,113,76589.2,62.4,207,113614.6,204,4390.4,190.8,7461.1,4,"clean",9201.7,51,11,3,29,50,4,28,12,1,2,4,2,13.1700440528634,124.909985315712,199,5
"E70","page6_clean.jpg",54177.6,94.5,"Trial006",8,4356.5,8,20,5876.3,10.8,76,38546.5,71.1,104,48779.3,102,2387.2,120.8,4040.1,2,"clean",4659.3,9,0,0,8,8,8,8,0,0,0,8,0,4.13367521367521,23.9268376068376,51,5
"K16","page1_standard.jpg",47704.6,90.9,"Trial001",2,350.6,0.7,47,18779.6,39.4,48,16593.7,34.8,101,36141.2,94,6226.6,538.6,5119.8,10,"standard",1319.3,24,15,1,21,26,25,23,13,9,10,25,1,13.6833409821019,133.106011932079,195,5
"K16","page2_standard.jpg",65878.2,88,"Trial002",0,0,0,31,8112.8,12.3,113,42303.1,64.2,144,50415.9,141,6763,508.5,5765.4,5,"standard",7231.1,9,5,1,18,9,34,18,6,4,5,34,0,4.97189153439153,63.9801587301587,145,5
"K16","page3_standard.jpg",39438.6,91.6,"Trial003",2,250.5,0.6,29,6714.5,17,57,18549.2,47,88,25514.2,88,8678.8,775.6,4589.5,9,"standard",3507,15,15,0,31,24,7,40,6,3,3,7,0,18.2493472584856,88.2617493472585,153,5
"K16","page4_clean.png",41659.1,91.7,"Trial004",7,985,2.4,7,1335.2,3.2,58,26224.1,62.9,72,28544.3,69,7580.3,1055.2,4560.9,2,"clean",4676,4,3,8,2,4,30,3,4,6,8,29,7,0.937790697674419,76.9895348837209,110,5
"K16","page5_clean.jpg",64495.5,87.9,"Trial005",19,3055.2,4.7,24,3906.3,6.1,94,22252,34.5,137,29213.5,121,22379.7,2556.6,11322.6,13,"clean",3623.9,32,12,4,11,37,57,17,7,5,5,57,4,3.77027027027027,132.873873873874,250,5
"K16","page6_clean.jpg",31161.6,81,"Trial006",12,1953.1,6.3,6,1001.8,3.2,48,9253.3,29.7,67,12325.1,58,9505,1034.9,3888.6,10,"clean",1837,10,7,6,0,12,14,2,5,0,0,15,5,0,40.2058432934927,78,5
"K17","page1_standard.jpg",16744.2,89.7,"Trial001",0,0,0,4,1235.3,7.4,25,12870.6,76.9,29,14105.9,23,467.4,37.1,1657.2,7,"standard",8383.4,0,0,0,3,0,0,4,0,0,0,0,0,0.484173505275498,1.87924970691676,9,5
