"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","max_text_time","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","weighted_text_image","weighted_alt","total_alt","Version"
"Y12","6-7 standard.jpg",23664.3,93.6,"Trial004",0,0,0,7,1285.8,5.4,33,20031.9,84.7,40,21317.7,36,734.6,42.7,1735.3,5,"standard",7548.4,1,1,0,1,1,5,1,1,0,0,5,0,0.0358255451713395,12.2507788161994,18,3
"Y12","8-9 partially separated.jpg",25225.7,91.4,"Trial005",1,233.7,0.9,9,2016,8,27,19998.5,79.3,37,22248.1,36,717.2,56.4,2651.8,4,"partial",10521,3,0,1,1,2,3,0,1,0,0,3,1,0.0538519072550486,9.69783096484667,17,3
"Y12","12 partially separated.jpg",18635,92.2,"Trial006",1,553.7,3,5,2330.9,12.5,19,13724.3,73.6,25,16608.9,20,486,36.7,1234.7,4,"partial",4408.8,3,0,0,3,2,3,2,1,0,0,3,0,1.2022022022022,8.82782782782783,19,3
"Y12","13 partially separated.jpg",19585.6,89.6,"Trial007",0,0,0,10,2771.6,14.2,22,13838.5,70.7,32,16610.1,29,701.2,68.8,2114.6,7,"partial",7598.5,0,0,0,1,0,3,2,0,1,1,3,0,0.108782435129741,4.83433133732535,13,3
"Y12","14-15 partially separated.jpg",18859.4,92.7,"Trial008",1,250.5,1.3,6,1869.7,9.9,24,14790.4,78.4,31,16910.6,27,567.6,47.2,1151.2,4,"partial",5577.8,0,0,1,2,1,3,1,1,1,1,4,0,1.07177974434612,7.05703048180924,17,3
"Y29","2-3 standard.jpg",22801.5,14.8,"Trial001",1,116.8,0.5,10,1430.9,6.3,2,434,1.9,13,1981.7,9,491,39.8,774.5,9,"standard",267.2,0,2,0,1,1,0,2,0,3,3,0,0,0.443548387096774,4.53225806451613,14,3
"Y29","4 standard.jpg",16185.8,7.2,"Trial002",0,0,0,3,384.1,2.4,1,385.4,2.4,4,769.5,5,136.3,6.5,375.8,5,"standard",384.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,3,3
"Y29","5 standard.jpg",7929.9,96.7,"Trial003",0,0,0,10,2515,31.7,10,4591.7,57.9,20,7106.7,19,486.3,29.7,1216.1,2,"standard",3891.1,2,0,0,2,0,1,0,2,0,0,1,0,0.307511737089202,3.86619718309859,10,3
"Y29","6-7 standard.jpg",18250.5,98.8,"Trial004",0,0,0,10,2787.9,15.3,32,14322.7,78.5,42,17110.6,39,767.9,26.9,1146.9,2,"standard",7247.8,1,0,0,5,0,0,4,1,0,0,0,0,1.33365758754864,3.89688715953307,13,3
"Y29","8-9 partially separated.jpg",23028.1,96.8,"Trial005",6,2570.8,11.2,9,2937.9,12.8,25,15641.2,67.9,40,21149.9,37,1001.7,68.9,2676.3,4,"partial",7281.2,6,0,1,1,5,0,0,1,0,0,0,1,0.124116260801257,9.06991358994501,17,3
"Y29","12 partially separated.jpg",10674.2,98.2,"Trial006",3,467.4,4.4,5,1586,14.9,10,7745.8,72.6,18,9799.2,18,651.1,56.9,1557,1,"partial",2655.3,4,0,0,4,3,1,3,2,0,0,1,0,1.5,8.37414965986395,20,3
