"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt","Version"
"1","E27",19472.275,5.5,2170.4,10.875,6.75,2560.55,13.225,29.25,12830.475,65.975,41.5,17561.4,40.75,918.5,30.6,1110.625,1.25,4.75,3,0,2.75,4.5,0.5,2.75,3.25,1.25,1.25,0.5,0,24.5,2
"2","E31",79550.825,15.25,3061.475,4.05,16.25,2699.075,3.3,9.75,2216.925,2.775,45,9134.175,39.75,3724.125,613.925,4901,30.5,4.25,7.25,11,8,4.25,4.5,7.25,7.75,13.25,12.75,5,10.75,96,2
"3","E5",62893.3,34.5,6750.575,10.0422632636461,41.75,7171.175,12.0774551030897,65,18416.825,33.9808224040833,144,32885.275,132.25,10040.6,1155.55,10074.525,18.75,28.5,12.25,9.25,19,28.5,14,18,13.75,21.5,21.5,15.5,7.75,209.5,2
"4","E8",29788.8,7.75,2880.55,8.07619393225237,15.25,4919.55,14.2393842798907,30,17240.625,54.7859628612335,53.75,25140.925,50.25,1518.275,67.25,1351.05,3.75,10.5,9.5,2.75,8.25,10.25,15,8.25,9,2,1.5,14.75,3.5,95.25,2
"5","E9",86873.825,23.25,6097.725,1.5,80.75,16699.05,19.4760040674635,70.75,27708.375,24.9,175.5,50598.225,162.25,12576.575,1300.1,13865.975,45.75,26,30.25,10.25,28.5,25.75,36.5,26.75,31.75,25.5,24.5,38.75,8.75,313.25,2
"6","F15",20675.375,1.5,382.35,1.55,13,4503.175,23.325,31.75,14190.225,67.125,46.25,19075.725,44.5,1027.05,74.7,2733.825,2.75,3.5,1.75,0,6.25,2.75,2,5.75,2.5,1.25,1.25,2,0,29,2
"7","F34",20716.1,0.25,22.075,0.1,0,0,0,0.5,53.45,0.275,1,108.925,0.75,72.65,18.85,189.05,28.25,0,0,0,0,0,0.75,0,0,0,0,1,0,1.75,2
"8","F42",18190.275,2.25,371.55,1.7,14.5,3559.775,18.725,28.75,8366.175,47.675,45.5,12297.475,40.5,1563.375,148.875,2605.325,6,3.25,2.75,0.5,6,3,6.5,5.25,3,3.75,3.5,6.75,0.5,44.75,2
"9","K2",37482.475,11.5,2367.8,5.725,13,2451.325,5.7,18.75,8941.425,21.1,43.75,13860.7,40.5,4990.95,555.55,2827.8,3.75,5,3.75,1,4.5,4,6.5,4.25,3.75,7.5,7,6.25,1.75,55.25,2
"10","K23",30383.575,6.5,1256.15,4.7,17.25,3331.025,10.575,5,638.55,2.225,29,5250.775,20,1913.75,349.325,2928.35,31.75,2.5,1,2.75,2.25,2.75,3.25,2.75,1.25,16,16.25,3.25,2.5,56.5,2
"11","K30",25362.325,21.25,4016,14.975,20,4706.4,18.875,16,3731.65,14.675,60,12871.5,52,4228.1,693.325,4848.325,9.25,10,7.75,10.75,4.5,9.75,2.25,4.5,6.75,9.5,8.75,2,12,88.5,2
"12","K45",44266.2,31.25,12787.575,20.9622384778404,27.75,11031.825,21.1758847471305,25.75,13959.6,30.3219255346975,85,37829.075,79,2185.275,121.2,3134.175,6.5,16.25,14.25,9.25,7.25,13.5,4.5,5,16.75,5.75,5.5,4.5,9.5,112,2
"13","K80",37842.75,7.5,2238.675,6.1,32.25,7493.975,20.625,41.5,17878.75,46.175,81.25,27611.4,78.25,6961.8,457.65,3601.95,4.25,15.75,11,0.75,15.25,16.75,5.5,16.25,10.25,5.25,5.5,5.5,0.5,108.25,2
"14","K81",36397.425,20.25,5977.8,17.475,23.25,5946.375,14.25,28,12979.5,38.525,72.25,24978.825,65,2519.2,323.7,5535.025,13.5,23.5,15,9.5,11.5,24.75,7.75,12,14,11,10.25,8.75,9.25,157.25,2
"15","S18",26200.375,1.25,454.95,1.8,24.5,9546.95,38.375,25.25,10876.35,40.175,51.25,20961.675,49,1239.625,98.05,2950.075,3,1.75,3.25,0,4.5,1.25,9,3.75,3.75,4.5,4.25,9.25,0,45.25,2
"16","S6",44551.25,24.5,10638.75,25.275,45.25,22191.45,49.2,7.25,3732.725,7.925,81,38399.6,75,2316.85,259.175,4850.4,12.25,7.75,15.25,10.5,7,8.5,1.5,7.75,15.75,8,9,1.5,9.5,102,2
"17","S7",40847.975,6.75,4657.75,12.75,17.5,6476.6,12.95,38.25,25390.85,64.3,62.5,36525.175,59.75,2242.05,135.8,2936.85,3.5,19.75,10.75,2,10,20.25,11.25,11,10,5,4.75,11.25,2.25,118.25,2
