"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt"
"1","E1",36654.575,0.5,697.05,2.35,15.5,6251.775,18.575,36.25,26221.625,68.225,52.75,33278.95,49,1026.7,70.8,2637.375,5.5,5.75,6.5,0.25,8,4.75,4,7,7.25,0.5,0,4,0.5,48.5
"2","F36",13981.675,0.25,45.9,0.275,4,1080.85,7.425,22.5,10880.025,76.45,26.75,12006.775,24.75,634.7,31.075,975.65,2.5,1,1.25,0,2,1,2,2.25,1,0.25,0.25,2,0,13
"3","F43",17640.525,12,3472.075,21.9,17.25,5108.125,26.025,13,4382.475,25.075,43.25,13182.05,41.25,1453.975,87.75,1600.65,3.5,2.25,14,2.25,3.25,2.5,0.25,3.25,13.75,1,0.75,0.5,2.25,46
"4","F63",125172.525,24.75,5713.225,4.15,88.5,22198.425,18.05,112.25,51164.85,40.625,234.5,80775.25,224.75,17790,1542.3,15414.475,34.75,33.5,50.25,15.25,42,31.25,31,41,51.75,19.25,20,29.75,15.75,380.75
"5","F77",26721.025,12.25,6152.425,23.95,21.25,8287.05,29.85,16.25,7567.575,28.225,50.75,22516.4,48.25,1432.45,86.85,1867.1,3.25,3.5,7.5,5.25,3,3.75,0.25,3.5,6.75,3,2.5,0.25,5.75,45
"6","K40",35279.95,2.25,409.075,1.225,18.25,3860.55,10.3,29.75,23352.825,68.15,50.25,27622.45,48.75,4590.9,439.75,2466.4,2.5,8.25,9.5,2,8.5,8.25,10,9,9,3.25,2.75,10,2.5,83
"7","K43",29685.275,1,375.6,1.575,4.75,3801.85,13.625,24,21423.525,71.025,29.75,25600.95,23,534.85,64.4,2381.2,11.5,13.75,9.25,0.5,6,14.5,2.75,6.75,8.25,0,0,2.75,0.5,65
"8","K46",22832.725,1,521.625,2.325,6.5,1840.775,7.5,20.75,18054.125,78.85,28.75,20600.125,27.5,627.7,37.3,1224.575,2.25,6.5,4.25,0.25,2.25,5.75,1.25,2.25,4.5,0.5,0.5,0.75,0.5,29.25
"9","K51",34581.525,1.75,959.95,3.95,9.5,3868.85,13.775,36.75,26161.8,71.275,48,30990.575,47.25,1344.175,117.325,2806.325,7.5,8.75,7,0.25,5,8.25,1.25,4.75,7.5,0.25,0.25,1.25,0.25,44.75
"10","S131",26270.7,1,296.325,1.275,11.25,3911.225,16.575,22.75,19177.925,71.275,35.25,23414.7,32.25,709.7,44.375,1615.95,3.5,1.5,1,0.5,3,1.25,3.5,2.5,1.5,1,1,3.5,0.5,20.75
"11","Y12",18991,0,0,0,7.25,1934.375,10.4,23.25,14725.525,76.55,30.75,16680.75,27.25,575.95,32.475,1292.675,4.75,2.25,2.75,0.25,1.5,2.75,2.75,2.25,2,1.25,1,3,0.25,22
"12","Y29",16291.925,0.25,29.2,0.125,8.25,1779.475,13.925,11.25,4933.45,35.175,19.75,6742.125,18,470.375,25.725,878.325,4.5,0.75,0.5,0,2,0.25,0.25,1.75,0.75,0.75,0.75,0.25,0,8
"13","Y40",104827.5,3.75,939,1,63.75,26247.45,21.6,78.25,57649.3,58.55,146.5,85194.675,135.5,6290.7,474.225,7550.5,21.75,29.25,24,1.75,22.75,29.25,23.5,23,24,11.5,11.75,23.75,1.5,226
"14","Y44",22558.15,1.75,267.075,0.975,18,3477.925,16.925,38.5,12397.1,55.3,58.5,16162.975,54.5,3614.55,330,3090.8,8,1.25,3,0.75,7,1.75,3,7,2.5,1,0.75,3.25,0.75,32
"15","Y46",33657.05,17.75,3887.25,10.075,18.5,4423.575,9.5,14.25,3320.95,9.45,53.5,12203.425,46.25,2974.825,377.875,4874.325,20.75,5.25,13.5,6,4.25,5.25,7.75,4.5,13.25,3.25,3.25,7.75,5.75,79.75
