"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt","Version"
"11","K48",33685.325,24.25,10840.7,36.5,18.75,6014.6,17.1,15.75,9303.15,25.45,59.25,26208.525,54.5,1507.675,81.7,2258.425,6,9.5,12.75,4.5,3.5,10.25,1.75,4.25,12,5,4.75,2,4.5,74.75,4
"12","K50",12973.45,2,634.325,5.55,8,2011.6,16.025,20.5,8572.325,64.3,30.5,11218.25,29.25,747.05,30.375,942.825,1,6.5,3.25,0,5.75,5.75,0.5,5,4.25,0.25,0.25,0.5,0,32,4
"13","S126",24226.55,10.5,2425.05,9.975,24.25,6618.95,28.45,13.25,3583.3,14.875,49,12823.425,37.5,2198.65,168.675,2894.35,10.75,8.25,8,5.5,3.75,8,9,3.75,8.25,12.75,12.75,9,5.5,94.5,4
"14","S127",25893.2,6.75,2450.625,9.9,21,8418.75,33.5,13.25,8276,29.825,48.25,22972.7,45.5,1035.5,51.875,1900.15,2,9.75,7.25,5.25,3.5,10,0.25,3.75,7,1,1,0.75,5,54.5,4
"15","S137",17268.55,1,95.975,0.475,4.5,686.75,3.3,0.75,70.925,0.35,7.25,1045.65,7.25,2067.6,311.15,832.675,7.75,0.5,0.5,0.25,1.25,0.5,0,1.25,0.5,1,1,0,0,6.75,4
"16","S14",91477.45,8,2954.975,3.15,27.75,9266.425,9.7,83.25,70077.3,77.35,119.5,82361.85,108.75,3098.325,264.575,6186.225,21,19.75,15.25,0,17.75,19.25,21.25,17.5,15.25,5,4.5,21,0.5,157,4
"17","Y39",15933.65,1.25,271.25,1.6,10.25,3117.575,20.35,21,9803.25,61.825,32.5,13192.1,32.25,905.825,71.8,1898.3,3.5,5,3,0.5,5,4.75,2.75,4.75,3,0.25,0.25,2.75,0.25,32.25,4
"18","Y41",35908.225,1.25,661.05,1.775,13.5,5022.7,13.5,31,27110.275,74.875,46,32824.4,44,1007.125,62.775,2008.575,3.25,9.25,2.5,0.75,7.25,9,3.5,7.25,2.5,0.75,0.75,3.5,1,48,4
"19","Y43",21021.625,11,1531.3,7.275,22.75,3748.15,17.775,4,553.2,2.6,37.75,5832.65,33.25,5078.125,889.55,4436.6,13.5,1,5,6.5,3.75,2,1.25,4.25,5.25,14,15,1.5,5.25,64.75,4
"20","Y45",58284.525,3.5,838.425,1.45,43.25,11874.4,20.125,64.75,34633.925,59.65,112.25,47459.9,109.75,5162.225,476.725,4793.1,5.25,10.25,7.5,1.75,14,10.5,9.75,15,7.75,6,6.5,9.75,1.25,100,4
