"","Participant","Avg_trial_dur","Avg_blank_fix_count","Avg_blank_fix_time","Avg_blank_fix_time_pct","Avg_image_fix_count","Avg_image_fix_time","Avg_image_fix_time_pct","Avg_text_fix_count","Avg_text_fix_time","Avg_text_fix_time_pct","Avg_fix_count","Avg_total_fix_dur","Avg_saccade_count","Avg_total_saccade_dur","Avg_total_saccade_amp","Avg_total_saccade_velocity","Avg_blink_count","Avg_ws_Text","Avg_ws_Image","Avg_ws_dash","Avg_Text_Image","Avg_Text_ws","Avg_Text_dash","Avg_Image_Text","Avg_Image_ws","Avg_Image_dash","Avg_dash_Image","Avg_dash_Text","Avg_dash_ws","Avg_total_alt","Version"
"1","E13",57100.45,7.5,5625.55,11.3725869265651,21.75,7394.825,10.4075634465856,43.25,30886.65,49.8901017520523,72.75,43940.475,67.25,2803.575,236.775,4387.7,13.75,16.25,7.75,1.5,9.25,17.25,6.25,10.5,6.5,10.25,10,6.25,1.75,103.5,4
"2","E30",70507.175,8.25,4157.725,6.9,45.75,19633.925,25.925,44.25,41578.85,60.15,98.25,65370.475,95.25,3152.25,119.75,2567.025,3,25,20.75,0.75,13.25,25.25,3,14,20.25,2,2,2.75,1,130,4
"3","E56",58546.05,4.25,1734.575,3.63732871629978,21,6007.275,10.5428536386641,41,33585.325,41.5825768986429,68.5,41680.5,62.5,3038.4,412.675,4841.6,18.75,11.5,5,3.75,9.75,12,22.5,10.5,5,8.25,8.5,22.75,3.25,122.75,4
"4","F16",18044.475,9,2420.55,13.95,27,5971.95,34.95,16,4924.55,25.875,52.75,13559.1,49.5,2779.375,266.925,2591.325,4,7.75,9.75,1,7.5,9,0.75,8.5,8.75,2.75,2.75,0.75,1,60.25,4
"5","F71",40436.675,2.25,1994.825,5.975,13.5,7774.375,18.425,29.75,28387.025,69.65,45.5,38156.225,42.25,806.125,36.95,1539.7,2.75,16.75,9,0.75,7,15.75,4.25,6.5,10,1.25,1.5,4,0.75,77.5,4
"6","K20",28180.175,5,1716.5,4.05,14.75,4105.45,12.7165981975212,41.5,17348.725,63.1202308226019,61.25,23170.675,58.5,1728.45,94.175,2350.675,6,17.75,6,0.75,9.5,16.25,6.75,8.25,7.75,2.5,2.5,7,0.5,85.5,4
"7","K21",56449.375,4.75,1795.3,3.425,15,7719.85,11.95,32.5,38411.275,69.425,52.25,47926.375,47.25,1348.725,84.375,2113.025,7.25,21,14.5,3.5,8.25,22.5,10.5,10,13,5,5,10.5,3.5,127.25,4
"8","K29",26067.6,6.5,1557.275,5.85,24.25,6023.325,24.025,41.75,11916.575,44.45,73.75,19722.575,72.25,3586.325,264.275,3350.375,4.25,13.25,7.25,1.25,11.5,12.5,4,11.25,7.75,3.5,3.5,3.5,1.75,81,4
"9","K42",61527.5,23.25,11992.05,19.4,24.75,11746.55,18.7,37.25,28739.125,47.2,86.5,52703.175,77.75,2029.475,211.125,5049.725,15.75,22,16,10.25,11,22.5,14.25,11,16,8,8.25,15,9.25,163.5,4
"10","K44",46498.75,9.75,2135.325,4.475,30.25,6727.275,14.625,39.75,20843.55,45.575,81.75,30057,80,4949.325,574.975,5163.675,10.75,8.5,6.5,5.75,15.5,8.5,12.75,14.5,7,10,9.75,13.75,5,117.5,4
